"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5789997","DET","","$2,695,000","A","4560 Peachtree Dunwoody Road NE","Brookhaven","21","Sandy Springs","Fulton","6","6","2","2017","1","01/06/2017","",""
"1","5790376","DET","","$2,475,000","A","1753 Pine Ridge Drive NE","Morningside","23","Atlanta","Fulton","5","5","1","2012","25","01/07/2017","",""
"1","5790427","DET","","$2,190,000","A","2838 Grey Moss Pass","Sugar Loaf Country Clubg","62","Duluth","Gwinnett","8","8","1","2001","27","01/07/2017","",""
"1","5790053","DET","","$1,995,000","A","807 Courtenay Drive NE","Morningside","23","Atlanta","Fulton","6","6","1","2017","3","01/06/2017","",""
"1","5790010","DET","","$1,750,000","A","1047 Michael Road NW","None","141","Monroe","Walton","4","3","0","1971","39","01/06/2017","",""
"1","5790386","DET","","$1,749,500","A","1117 Mclynn Avenue NE","Morningside","23","Atlanta","Fulton","6","6","0","2017","6","01/07/2017","",""
"1","5790247","DET","","$1,625,000","A","1240 Peachtree Battle Avenue NW","Buckhead","22","Atlanta","Fulton","5","5","1","2016","17","01/06/2017","",""
"1","5790248","DET","","$1,625,000","A","1248 Peachtree Battle Avenue NW","Buckhead","22","Atlanta","Fulton","6","6","1","2016","40","01/06/2017","",""
"1","5790012","DET","","$1,350,000","A","1029 Drewry Street NE","Virginia Highland","23","Atlanta","Fulton","5","4","1","2017","16","01/06/2017","",""
"1","5782038","DET","","$1,100,000","A","137 Brighton Road NE","Brookwood Hills","21","Atlanta","Fulton","3","3","1","1925","22","01/06/2017","",""
"1","5789967","DET","","$1,050,000","A","1650 Lazy River Lane","River Oaks","121","Sandy Springs","Fulton","5","5","2","1985","37","01/06/2017","",""
"1","5790184","DET","","$925,000","A","165 Old Cedar Lane","Six Hills","13","Milton","Fulton","5","4","1","2000","36","01/06/2017","",""
"1","5790107","ATT","","$879,000","A","1130 Piedmont Avenue NE Unit#1606","Ansley Above The Park","23","Atlanta","Fulton","3","3","0","1988","36","01/06/2017","",""
"1","5790069","DET","","$875,000","A","60 W Belle Isle Road NE","Chastain","132","Atlanta","Fulton","4","4","1","2007","25","01/06/2017","",""
"1","5790193","DET","","$825,000","A","1174 Byrnwyck Court NE","Byrnwyck","51","Brookhaven","Dekalb","5","4","1","1979","37","01/06/2017","",""
"1","5790167","DET","","$799,900","A","4624 Meadow Valley Drive","Cherokee Park","132","Sandy Springs","Fulton","6","5","1","1957","40","01/06/2017","",""
"1","5790051","DET","","$799,000","A","1921 Walthall Drive NW","Collier Hills","21","Atlanta","Fulton","4","3","0","1959","27","01/06/2017","",""
"1","5790335","DET","","$779,000","A","6704 Winding Canyon","Sterling on the Lake","265","Flowery Branch","Hall","5","4","1","2016","30","01/07/2017","",""
"1","5790111","DET","","$699,000","A","5000 Alec Mountain B","NONE","285","Clarkesville","Habersham","3","3","1","2004","14","01/06/2017","",""
"1","5790006","DET","","$675,000","A","2588 Octavia Lane","Sylvan Heights","82","Marietta","Cobb","5","4","0","2016","40","01/06/2017","",""
"1","5790198","DET","","$675,000","A","210 Cold Stream Trail","Sassafras Mountain","273","Jasper","Dawson","4","4","1","2006","25","01/06/2017","",""
