"LN","Price","STAT","Address","AR","City","CNTY","BR","BAF","BAH","YR","ZIP","ELEM","MS","HS","LA - Agt Name","LA - Phone"
"8119701","$18,995","A","24 SW Daniel Dr","161","Stockbridge","Clayton","3","2","0","1985","30281","W Clayton","Rex Mill","Mount Zion","Don L Cagle","Phone: 770-855-4533"
"8126109","$24,900","A","1034 Stonewall Dr","32","Atlanta","Fulton","3","1","0","1960","30315-7622","Dobbs","Long","Other","Kathleen Longspaugh","Phone: 813-215-7797"
"8123159","$35,000","A","1351 Graymont Dr","31","Atlanta","Fulton","2","1","0","1949","30310","Other","Other","Other","Kristle Breland","Phone: 404-563-4793"
"8118678","$37,000","A","969 Stonewall","32","Atlanta","Fulton","3","2","0","1960","30315","Dobbs","Long","Other","Ashley Abrams",
"8123562","$41,900","A","108 Rogers Ave","161","Jonesboro","Clayton","2","1","0","1948","30236","Lee Street","Jonesboro","Jonesboro","Zareh Najarian",
"8114519","$43,580","A","2028 Arlington Cir","22","Atlanta","Fulton","3","2","0","1938","30318","Woodson","Harpr Arch","Douglass","Rick Hale","Phone: 404-541-3555"
"8125209","$46,000","A","1058 Mainstreet Valley Dr","42","Stone Mountain","DeKalb","3","2","0","1983","30088","Eldridge M","Redan","Redan","Ayanna Brewer-Beasley","Phone: 6789061378"
"8118842","$46,080","A","652 Emily Pl","22","Atlanta","Fulton","2","1","0","1950","30318","Woodson","Harpr Arch","Douglass","Rick Hale","Phone: 404-541-3555"
"8119147","$46,080","A","991 Stonewall Dr","32","Atlanta","Fulton","2","1","0","1960","30315","Dobbs","Long","S Atlanta","Rick Hale","Phone: 404-541-3555"
"8120668","$46,080","A","986 Natham Dr","32","Atlanta","Fulton","3","1","1","1960","30315","Dobbs","Long","S Atlanta","Rick Hale","Phone: 404-541-3555"
"8128167","$47,900","A","686 Cedar Ave","31","Atlanta","Fulton","3","2","0","1920","30318","Grove Park","Harpr Arch","Douglass","Perrell D Collins","Phone: 4043495302"
"8123373","$48,505","A","2210 Swallow Cir","32","Atlanta","Fulton","3","1","0","1960","30315","Dobbs","Long","S Atlanta","Dionne Fuller",
"8123336","$48,505","A","1966 Tiger Flowers","22","Atlanta","Fulton","3","1","0","1938","30314","Grove Park","Harpr Arch","Douglass","Dionne Fuller",
"8124547","$48,608","A","2490 Baker Rd","22","Atlanta","Fulton","2","1","0","1950","30318","Woodson","Harpr Arch","Douglass","Rick Hale","Phone: 404-541-3555"
"8118376","$49,000","A","468 Center Hill Ave","22","Atlanta","Fulton","2","1","0","1955","30318","Other","Other","Other","Tony B Dent",
"8119306","$49,000","A","1281 Avery Dr","161","Jonesboro","Clayton","2","2","0","1994","30238","Hawthorne","Lovejoy","Lovejoy","Tamairo Moutry","Phone: 678-861-8885"
"8123552","$52,900","A","199 Kay Rd","74","Marietta","Cobb","3","1","0","1952","30008","Milford","Smitha","Osborne","Zareh Najarian",
"8118257","$53,000","A","6131 Deerfield Ct","161","Morrow","Clayton","3","1","1","1971","30260","Marshall","Morrow","Morrow","Joel D Elliott","Phone: 7703759790ext. 112"
"8122914","$53,900","A","3398 Columbia Trce","52","decatur","DeKalb","3","2","0","1972","30032","Snapfinger","Columbia","Columbia","Robert Carrino","Phone: 678-465-7091"
"8122024","$60,000","A","2602 SW Ivydale Dr","33","Atlanta","Fulton","2","1","0","1955","30311-4424","Kimberly","Young","Therrell","Julia and Associates","Offic: 6788949744"
"8118670","$60,000","A","404 Fletcher","31","Atlanta","Fulton","6","2","0","1920","30310","Gideons","Sylvan Hil","Other","Ashley Abrams",
"8124796","$60,000","A","846 Lee Andrews","32","Atlanta","Fulton","3","2","0","1945","30315-6814","Dobbs","Long","S Atlanta","Virginia Horton-Lee","Phone: 678-546-7387"
